"TaskType","Confidence","TreatmentType","ConversationId","ResponseId","Response"
1,"HighLow",0,13,"3F0BG9B9MQJG8G90TGJZNOQH50E7YP","Well someone is not going to be able to go."
1,"HighLow",0,14,"3F0BG9B9MQJG8G90TGJZNOQH50E7YP","Sounds good"
1,"HighLow",0,15,"3F0BG9B9MQJG8G90TGJZNOQH50E7YP","Thats good, hopefully itll turn up"
1,"HighLow",2,1,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","uh oh whats going on?"
1,"HighLow",2,2,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","Im so sorry, it slipped my mind. Wont happen again."
1,"HighLow",2,3,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","i know exactly how you feel."
1,"HighLow",2,4,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","Dang dude, it wasn't me but good luck finding whoever told."
1,"HighLow",2,5,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","for real, what a mean thing to do. Do you need some help?"
1,"HighLow",3,6,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","sorry, i just wanted to tell you, i didn;t realize it would make you upset"
1,"HighLow",3,7,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","i am so sorry, i had no idea. If you need anything please don't be afraid to ask."
1,"HighLow",3,8,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","um are you okay?"
1,"HighLow",3,9,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","Hey sorry, whats up?"
1,"HighLow",3,10,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","oh man whata  doozy"
1,"HighLow",0,11,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","tryin my best buddy."
1,"HighLow",0,12,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","yeah i'm fine. I'm just not feeling too well."
1,"HighLow",0,13,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","what do you suggest we do?"
1,"HighLow",0,14,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","Ok cool, ill see you then."
1,"HighLow",0,15,"3WAKVUDHUXCZR7PVJFMAK3K49C37UR","good luck finding it."
1,"Default",1,1,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","Hold on, what happened? I can come home now if you need."
1,"Default",1,2,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","It's my kitchen, I'll deal with it when I get home."
1,"Default",1,3,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","what'd he do this time?"
1,"Default",1,4,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","I don't know anything, sorry man."
1,"Default",1,5,"3D8YOU6S9FGGN7BQ05HIEPK8E1K6US","You should tell him that you know. Then break up with him first."
